Unnamed: 0,Corrected Customer Question,Corrected Frappe Query
528,Could you show me the child entries in Journal Entry?,"for child_doc in frappe.get_doc(""Journal Entry"", ""ID-038"").get_children():
    print(child_doc.name)"
529,What are the child records of Stock Entry?,"for child_doc in frappe.get_doc(""Stock Entry"", ""ID-018"").get_children():
    print(child_doc.name)"
531,Can you fetch the child records of Subscription?,"for child_doc in frappe.get_doc(""Subscription"", ""ID-029"").get_children():
    print(child_doc.name)"
534,Could you show me the child entries in Project?,"for child_doc in frappe.get_doc(""Project"", ""ID-025"").get_children():
    print(child_doc.name)"
539,"Hey, can you fetch the child records for Pricing Rule?","for child_doc in frappe.get_doc(""Pricing Rule"", ""ID-046"").get_children():
    print(child_doc.name)"
540,Show the child entries in Work Order.,"for child_doc in frappe.get_doc(""Work Order"", ""ID-026"").get_children():
    print(child_doc.name)"
541,What are the child records of Timesheet?,"for child_doc in frappe.get_doc(""Timesheet"", ""ID-046"").get_children():
    print(child_doc.name)"
542,"Hey, can you fetch the child records for Asset?","for child_doc in frappe.get_doc(""Asset"", ""ID-023"").get_children():
    print(child_doc.name)"
544,Can you fetch the child records of Stock Entry?,"for child_doc in frappe.get_doc(""Stock Entry"", ""ID-048"").get_children():
    print(child_doc.name)"
545,Could you show me the child entries in Customer?,"for child_doc in frappe.get_doc(""Customer"", ""ID-045"").get_children():
    print(child_doc.name)"
546,"I need the child records from Timesheet, can you get that?","for child_doc in frappe.get_doc(""Timesheet"", ""ID-011"").get_children():
    print(child_doc.name)"
547,Please tell me the child records for Loan.,"for child_doc in frappe.get_doc(""Loan"", ""ID-004"").get_children():
    print(child_doc.name)"
550,What are the child records of Subscription?,"for child_doc in frappe.get_doc(""Subscription"", ""ID-044"").get_children():
    print(child_doc.name)"
551,Please tell me the child records for Stock Entry.,"for child_doc in frappe.get_doc(""Stock Entry"", ""ID-044"").get_children():
    print(child_doc.name)"
553,Show the child entries in Timesheet.,"for child_doc in frappe.get_doc(""Timesheet"", ""ID-045"").get_children():
    print(child_doc.name)"
554,"I need the child records from Material Request, can you get that?","for child_doc in frappe.get_doc(""Material Request"", ""ID-032"").get_children():
    print(child_doc.name)"
558,Can you fetch the child records of Warehouse?,"for child_doc in frappe.get_doc(""Warehouse"", ""ID-007"").get_children():
    print(child_doc.name)"
559,Can you fetch the child records of Project?,"for child_doc in frappe.get_doc(""Project"", ""ID-043"").get_children():
    print(child_doc.name)"
563,What are the child records of Work Order?,"for child_doc in frappe.get_doc(""Work Order"", ""ID-042"").get_children():
    print(child_doc.name)"
568,Retrieve all child records for Customer.,"for child_doc in frappe.get_doc(""Customer"", ""ID-017"").get_children():
    print(child_doc.name)"
569,Please tell me the child records for Expense Claim.,"for child_doc in frappe.get_doc(""Expense Claim"", ""ID-009"").get_children():
    print(child_doc.name)"
573,Show the child entries in Journal Entry.,"for child_doc in frappe.get_doc(""Journal Entry"", ""ID-046"").get_children():
    print(child_doc.name)"
577,Can you let me know the child entries of Customer?,"for child_doc in frappe.get_doc(""Customer"", ""ID-018"").get_children():
    print(child_doc.name)"
580,Can you let me know the child entries of Supplier?,"for child_doc in frappe.get_doc(""Supplier"", ""ID-027"").get_children():
    print(child_doc.name)"
589,Retrieve all child records for Task.,"for child_doc in frappe.get_doc(""Task"", ""ID-022"").get_children():
    print(child_doc.name)"
591,Can you fetch the child records of Customer?,"for child_doc in frappe.get_doc(""Customer"", ""ID-048"").get_children():
    print(child_doc.name)"
592,"Hey, can you fetch the child records for Contract?","for child_doc in frappe.get_doc(""Contract"", ""ID-040"").get_children():
    print(child_doc.name)"
593,What are the child records of Purchase Order?,"for child_doc in frappe.get_doc(""Purchase Order"", ""ID-045"").get_children():
    print(child_doc.name)"
599,Retrieve all child records for Asset.,"for child_doc in frappe.get_doc(""Asset"", ""ID-038"").get_children():
    print(child_doc.name)"
600,Retrieve all child records for Event.,"for child_doc in frappe.get_doc(""Event"", ""ID-020"").get_children():
    print(child_doc.name)"
601,What are the child records of Customer?,"for child_doc in frappe.get_doc(""Customer"", ""ID-047"").get_children():
    print(child_doc.name)"
602,What are the child records of Journal Entry?,"for child_doc in frappe.get_doc(""Journal Entry"", ""ID-021"").get_children():
    print(child_doc.name)"
604,Please tell me the child records for Contract.,"for child_doc in frappe.get_doc(""Contract"", ""ID-016"").get_children():
    print(child_doc.name)"
605,"I need the child records from Lead, can you get that?","for child_doc in frappe.get_doc(""Lead"", ""ID-012"").get_children():
    print(child_doc.name)"
613,"Hey, can you fetch the child records for Project?","for child_doc in frappe.get_doc(""Project"", ""ID-035"").get_children():
    print(child_doc.name)"
616,Show the child entries in Lead.,"for child_doc in frappe.get_doc(""Lead"", ""ID-041"").get_children():
    print(child_doc.name)"
617,"Hey, can you fetch the child records for Asset?","for child_doc in frappe.get_doc(""Asset"", ""ID-031"").get_children():
    print(child_doc.name)"
618,Please tell me the child records for Loan.,"for child_doc in frappe.get_doc(""Loan"", ""ID-013"").get_children():
    print(child_doc.name)"
619,Could you show me the child entries in Subscription?,"for child_doc in frappe.get_doc(""Subscription"", ""ID-022"").get_children():
    print(child_doc.name)"
624,"Hey, can you fetch the child records for Customer?","for child_doc in frappe.get_doc(""Customer"", ""ID-022"").get_children():
    print(child_doc.name)"
626,Retrieve all child records for Journal Entry.,"for child_doc in frappe.get_doc(""Journal Entry"", ""ID-018"").get_children():
    print(child_doc.name)"
627,"I need the child records from Task, can you get that?","for child_doc in frappe.get_doc(""Task"", ""ID-042"").get_children():
    print(child_doc.name)"
629,"I need the child records from Warehouse, can you get that?","for child_doc in frappe.get_doc(""Warehouse"", ""ID-041"").get_children():
    print(child_doc.name)"
630,Retrieve all child records for Work Order.,"for child_doc in frappe.get_doc(""Work Order"", ""ID-044"").get_children():
    print(child_doc.name)"
632,Please tell me the child records for Opportunity.,"for child_doc in frappe.get_doc(""Opportunity"", ""ID-004"").get_children():
    print(child_doc.name)"
638,"I need the child records from Contract, can you get that?","for child_doc in frappe.get_doc(""Contract"", ""ID-022"").get_children():
    print(child_doc.name)"
640,Can you fetch the child records of Project?,"for child_doc in frappe.get_doc(""Project"", ""ID-019"").get_children():
    print(child_doc.name)"
645,Show the child entries in Asset.,"for child_doc in frappe.get_doc(""Asset"", ""ID-014"").get_children():
    print(child_doc.name)"
646,Could you show me the child entries in Subscription?,"for child_doc in frappe.get_doc(""Subscription"", ""ID-015"").get_children():
    print(child_doc.name)"
649,Could you show me the child entries in Timesheet?,"for child_doc in frappe.get_doc(""Timesheet"", ""ID-029"").get_children():
    print(child_doc.name)"
655,"Hey, can you fetch the child records for Task?","for child_doc in frappe.get_doc(""Task"", ""ID-015"").get_children():
    print(child_doc.name)"
658,Could you show me the child entries in Customer?,"for child_doc in frappe.get_doc(""Customer"", ""ID-008"").get_children():
    print(child_doc.name)"
659,Could you show me the child entries in Contract?,"for child_doc in frappe.get_doc(""Contract"", ""ID-015"").get_children():
    print(child_doc.name)"
666,Retrieve all child records for Task.,"for child_doc in frappe.get_doc(""Task"", ""ID-027"").get_children():
    print(child_doc.name)"
670,Can you let me know the child entries of Subscription?,"for child_doc in frappe.get_doc(""Subscription"", ""ID-014"").get_children():
    print(child_doc.name)"
671,What are the child records of Stock Entry?,"for child_doc in frappe.get_doc(""Stock Entry"", ""ID-028"").get_children():
    print(child_doc.name)"
673,Show the child entries in Lead.,"for child_doc in frappe.get_doc(""Lead"", ""ID-014"").get_children():
    print(child_doc.name)"
675,Could you show me the child entries in Contract?,"for child_doc in frappe.get_doc(""Contract"", ""ID-045"").get_children():
    print(child_doc.name)"
676,What are the child records of Task?,"for child_doc in frappe.get_doc(""Task"", ""ID-016"").get_children():
    print(child_doc.name)"
679,What are the child records of Work Order?,"for child_doc in frappe.get_doc(""Work Order"", ""ID-022"").get_children():
    print(child_doc.name)"
684,Please tell me the child records for Subscription.,"for child_doc in frappe.get_doc(""Subscription"", ""ID-049"").get_children():
    print(child_doc.name)"
686,"I need the child records from Expense Claim, can you get that?","for child_doc in frappe.get_doc(""Expense Claim"", ""ID-021"").get_children():
    print(child_doc.name)"
687,Can you let me know the child entries of Stock Entry?,"for child_doc in frappe.get_doc(""Stock Entry"", ""ID-020"").get_children():
    print(child_doc.name)"
688,"I need the child records from Project, can you get that?","for child_doc in frappe.get_doc(""Project"", ""ID-026"").get_children():
    print(child_doc.name)"
690,Please tell me the child records for Sales Order.,"for child_doc in frappe.get_doc(""Sales Order"", ""ID-003"").get_children():
    print(child_doc.name)"
696,"I need the child records from Timesheet, can you get that?","for child_doc in frappe.get_doc(""Timesheet"", ""ID-022"").get_children():
    print(child_doc.name)"
697,What are the child records of Contract?,"for child_doc in frappe.get_doc(""Contract"", ""ID-046"").get_children():
    print(child_doc.name)"
701,Can you let me know the child entries of Opportunity?,"for child_doc in frappe.get_doc(""Opportunity"", ""ID-033"").get_children():
    print(child_doc.name)"
702,Retrieve all child records for Supplier.,"for child_doc in frappe.get_doc(""Supplier"", ""ID-020"").get_children():
    print(child_doc.name)"
704,"Hey, can you fetch the child records for Purchase Order?","for child_doc in frappe.get_doc(""Purchase Order"", ""ID-010"").get_children():
    print(child_doc.name)"
705,Can you let me know the child entries of Asset?,"for child_doc in frappe.get_doc(""Asset"", ""ID-024"").get_children():
    print(child_doc.name)"
706,Can you fetch the child records of Expense Claim?,"for child_doc in frappe.get_doc(""Expense Claim"", ""ID-022"").get_children():
    print(child_doc.name)"
720,Can you let me know the child entries of Expense Claim?,"for child_doc in frappe.get_doc(""Expense Claim"", ""ID-001"").get_children():
    print(child_doc.name)"
721,"I need the child records from Lead, can you get that?","for child_doc in frappe.get_doc(""Lead"", ""ID-037"").get_children():
    print(child_doc.name)"
723,Can you fetch the child records of Work Order?,"for child_doc in frappe.get_doc(""Work Order"", ""ID-025"").get_children():
    print(child_doc.name)"
724,Can you let me know the child entries of Supplier?,"for child_doc in frappe.get_doc(""Supplier"", ""ID-006"").get_children():
    print(child_doc.name)"
726,What are the child records of Lead?,"for child_doc in frappe.get_doc(""Lead"", ""ID-043"").get_children():
    print(child_doc.name)"
727,"Hey, can you fetch the child records for Opportunity?","for child_doc in frappe.get_doc(""Opportunity"", ""ID-022"").get_children():
    print(child_doc.name)"
729,Can you let me know the child entries of Task?,"for child_doc in frappe.get_doc(""Task"", ""ID-037"").get_children():
    print(child_doc.name)"
730,Retrieve all child records for Purchase Order.,"for child_doc in frappe.get_doc(""Purchase Order"", ""ID-042"").get_children():
    print(child_doc.name)"
732,"I need the child records from Expense Claim, can you get that?","for child_doc in frappe.get_doc(""Expense Claim"", ""ID-005"").get_children():
    print(child_doc.name)"
736,"Hey, can you fetch the child records for Purchase Order?","for child_doc in frappe.get_doc(""Purchase Order"", ""ID-018"").get_children():
    print(child_doc.name)"
738,"I need the child records from Pricing Rule, can you get that?","for child_doc in frappe.get_doc(""Pricing Rule"", ""ID-030"").get_children():
    print(child_doc.name)"
739,"Hey, can you fetch the child records for Work Order?","for child_doc in frappe.get_doc(""Work Order"", ""ID-003"").get_children():
    print(child_doc.name)"
745,Can you fetch the child records of Task?,"for child_doc in frappe.get_doc(""Task"", ""ID-021"").get_children():
    print(child_doc.name)"
747,"Hey, can you fetch the child records for Asset?","for child_doc in frappe.get_doc(""Asset"", ""ID-025"").get_children():
    print(child_doc.name)"
749,What are the child records of Material Request?,"for child_doc in frappe.get_doc(""Material Request"", ""ID-024"").get_children():
    print(child_doc.name)"
759,Can you let me know the child entries of Quotation?,"for child_doc in frappe.get_doc(""Quotation"", ""ID-038"").get_children():
    print(child_doc.name)"
761,"Hey, can you fetch the child records for Subscription?","for child_doc in frappe.get_doc(""Subscription"", ""ID-040"").get_children():
    print(child_doc.name)"
762,Can you let me know the child entries of Expense Claim?,"for child_doc in frappe.get_doc(""Expense Claim"", ""ID-003"").get_children():
    print(child_doc.name)"
767,Could you show me the child entries in Asset?,"for child_doc in frappe.get_doc(""Asset"", ""ID-045"").get_children():
    print(child_doc.name)"
768,Retrieve all child records for Expense Claim.,"for child_doc in frappe.get_doc(""Expense Claim"", ""ID-038"").get_children():
    print(child_doc.name)"
769,"I need the child records from Pricing Rule, can you get that?","for child_doc in frappe.get_doc(""Pricing Rule"", ""ID-045"").get_children():
    print(child_doc.name)"
770,"Hey, can you fetch the child records for Contract?","for child_doc in frappe.get_doc(""Contract"", ""ID-041"").get_children():
    print(child_doc.name)"
776,"I need the child records from Loan, can you get that?","for child_doc in frappe.get_doc(""Loan"", ""ID-030"").get_children():
    print(child_doc.name)"
777,Show the child entries in Expense Claim.,"for child_doc in frappe.get_doc(""Expense Claim"", ""ID-049"").get_children():
    print(child_doc.name)"
779,What are the child records of Task?,"for child_doc in frappe.get_doc(""Task"", ""ID-004"").get_children():
    print(child_doc.name)"
783,"Hey, can you fetch the child records for Sales Order?","for child_doc in frappe.get_doc(""Sales Order"", ""ID-043"").get_children():
    print(child_doc.name)"
786,Retrieve all child records for Quotation.,"for child_doc in frappe.get_doc(""Quotation"", ""ID-006"").get_children():
    print(child_doc.name)"
789,Could you show me the child entries in Loan?,"for child_doc in frappe.get_doc(""Loan"", ""ID-005"").get_children():
    print(child_doc.name)"
790,Please tell me the child records for Subscription.,"for child_doc in frappe.get_doc(""Subscription"", ""ID-047"").get_children():
    print(child_doc.name)"
791,Can you let me know the child entries of Loan?,"for child_doc in frappe.get_doc(""Loan"", ""ID-039"").get_children():
    print(child_doc.name)"
797,"Hey, can you fetch the child records for Contract?","for child_doc in frappe.get_doc(""Contract"", ""ID-034"").get_children():
    print(child_doc.name)"
803,What are the child records of Event?,"for child_doc in frappe.get_doc(""Event"", ""ID-021"").get_children():
    print(child_doc.name)"
806,Could you show me the child entries in Material Request?,"for child_doc in frappe.get_doc(""Material Request"", ""ID-021"").get_children():
    print(child_doc.name)"
812,What are the child records of Customer?,"for child_doc in frappe.get_doc(""Customer"", ""ID-027"").get_children():
    print(child_doc.name)"
813,Can you fetch the child records of Subscription?,"for child_doc in frappe.get_doc(""Subscription"", ""ID-006"").get_children():
    print(child_doc.name)"
815,"Hey, can you fetch the child records for Material Request?","for child_doc in frappe.get_doc(""Material Request"", ""ID-027"").get_children():
    print(child_doc.name)"
818,"Hey, can you fetch the child records for Opportunity?","for child_doc in frappe.get_doc(""Opportunity"", ""ID-018"").get_children():
    print(child_doc.name)"
820,Show the child entries in Journal Entry.,"for child_doc in frappe.get_doc(""Journal Entry"", ""ID-037"").get_children():
    print(child_doc.name)"
826,Can you fetch the child records of Asset?,"for child_doc in frappe.get_doc(""Asset"", ""ID-036"").get_children():
    print(child_doc.name)"
831,Please tell me the child records for Asset.,"for child_doc in frappe.get_doc(""Asset"", ""ID-019"").get_children():
    print(child_doc.name)"
832,What are the child records of Event?,"for child_doc in frappe.get_doc(""Event"", ""ID-033"").get_children():
    print(child_doc.name)"
834,Show the child entries in Subscription.,"for child_doc in frappe.get_doc(""Subscription"", ""ID-009"").get_children():
    print(child_doc.name)"
835,Please tell me the child records for Lead.,"for child_doc in frappe.get_doc(""Lead"", ""ID-031"").get_children():
    print(child_doc.name)"
837,What are the child records of Stock Entry?,"for child_doc in frappe.get_doc(""Stock Entry"", ""ID-032"").get_children():
    print(child_doc.name)"
838,What are the child records of Supplier?,"for child_doc in frappe.get_doc(""Supplier"", ""ID-037"").get_children():
    print(child_doc.name)"
846,What are the child records of Subscription?,"for child_doc in frappe.get_doc(""Subscription"", ""ID-028"").get_children():
    print(child_doc.name)"
847,Retrieve all child records for Customer.,"for child_doc in frappe.get_doc(""Customer"", ""ID-019"").get_children():
    print(child_doc.name)"
849,Show the child entries in Material Request.,"for child_doc in frappe.get_doc(""Material Request"", ""ID-005"").get_children():
    print(child_doc.name)"
857,Can you fetch the child records of Asset?,"for child_doc in frappe.get_doc(""Asset"", ""ID-020"").get_children():
    print(child_doc.name)"
858,Could you show me the child entries in Sales Order?,"for child_doc in frappe.get_doc(""Sales Order"", ""SO-2024-050"").get_children():
    print(child_doc.name)"
859,Can you let me know the child entries of Work Order?,"for child_doc in frappe.get_doc(""Work Order"", ""ID-049"").get_children():
    print(child_doc.name)"
862,What are the child records of Event?,"for child_doc in frappe.get_doc(""Event"", ""ID-001"").get_children():
    print(child_doc.name)"
867,Can you let me know the child entries of Pricing Rule?,"for child_doc in frappe.get_doc(""Pricing Rule"", ""ID-040"").get_children():
    print(child_doc.name)"
868,Please tell me the child records for Sales Order.,"for child_doc in frappe.get_doc(""Sales Order"", ""ID-013"").get_children():
    print(child_doc.name)"
869,Can you fetch the child records of Sales Order?,"for child_doc in frappe.get_doc(""Sales Order"", ""ID-035"").get_children():
    print(child_doc.name)"
871,Please tell me the child records for Timesheet.,"for child_doc in frappe.get_doc(""Timesheet"", ""ID-023"").get_children():
    print(child_doc.name)"
873,Please tell me the child records for Sales Order.,"for child_doc in frappe.get_doc(""Sales Order"", ""ID-048"").get_children():
    print(child_doc.name)"
875,Could you show me the child entries in Loan?,"for child_doc in frappe.get_doc(""Loan"", ""ID-017"").get_children():
    print(child_doc.name)"
877,Retrieve all child records for Purchase Order.,"for child_doc in frappe.get_doc(""Purchase Order"", ""ID-038"").get_children():
    print(child_doc.name)"
878,"I need the child records from Loan, can you get that?","for child_doc in frappe.get_doc(""Loan"", ""ID-045"").get_children():
    print(child_doc.name)"
879,Retrieve all child records for Timesheet.,"for child_doc in frappe.get_doc(""Timesheet"", ""ID-012"").get_children():
    print(child_doc.name)"
884,Can you fetch the child records of Warehouse?,"for child_doc in frappe.get_doc(""Warehouse"", ""ID-032"").get_children():
    print(child_doc.name)"
888,Retrieve all child records for Loan.,"for child_doc in frappe.get_doc(""Loan"", ""ID-008"").get_children():
    print(child_doc.name)"
889,Could you show me the child entries in Subscription?,"for child_doc in frappe.get_doc(""Subscription"", ""ID-013"").get_children():
    print(child_doc.name)"
890,Can you let me know the child entries of Customer?,"for child_doc in frappe.get_doc(""Customer"", ""ID-006"").get_children():
    print(child_doc.name)"
891,"Hey, can you fetch the child records for Loan?","for child_doc in frappe.get_doc(""Loan"", ""ID-009"").get_children():
    print(child_doc.name)"
892,"I need the child records from Supplier, can you get that?","for child_doc in frappe.get_doc(""Supplier"", ""ID-033"").get_children():
    print(child_doc.name)"
895,Can you fetch the child records of Work Order?,"for child_doc in frappe.get_doc(""Work Order"", ""ID-037"").get_children():
    print(child_doc.name)"
896,Please tell me the child records for Contract.,"for child_doc in frappe.get_doc(""Contract"", ""ID-033"").get_children():
    print(child_doc.name)"
897,Show the child entries in Timesheet.,"for child_doc in frappe.get_doc(""Timesheet"", ""ID-025"").get_children():
    print(child_doc.name)"
898,Retrieve all child records for Work Order.,"for child_doc in frappe.get_doc(""Work Order"", ""ID-040"").get_children():
    print(child_doc.name)"
899,Show the child entries in Stock Entry.,"for child_doc in frappe.get_doc(""Stock Entry"", ""ID-033"").get_children():
    print(child_doc.name)"
903,Retrieve all child records for Supplier.,"for child_doc in frappe.get_doc(""Supplier"", ""ID-009"").get_children():
    print(child_doc.name)"
906,Please tell me the child records for Sales Order.,"for child_doc in frappe.get_doc(""Sales Order"", ""ID-038"").get_children():
    print(child_doc.name)"
909,Show the child entries in Warehouse.,"for child_doc in frappe.get_doc(""Warehouse"", ""ID-015"").get_children():
    print(child_doc.name)"
911,Can you fetch the child records of Timesheet?,"for child_doc in frappe.get_doc(""Timesheet"", ""ID-035"").get_children():
    print(child_doc.name)"
913,"Hey, can you fetch the child records for Supplier?","for child_doc in frappe.get_doc(""Supplier"", ""ID-042"").get_children():
    print(child_doc.name)"
918,Can you let me know the child entries of Task?,"for child_doc in frappe.get_doc(""Task"", ""ID-023"").get_children():
    print(child_doc.name)"
919,Retrieve all child records for Supplier.,"for child_doc in frappe.get_doc(""Supplier"", ""ID-025"").get_children():
    print(child_doc.name)"
920,"I need the child records from Task, can you get that?","for child_doc in frappe.get_doc(""Task"", ""ID-008"").get_children():
    print(child_doc.name)"
927,Can you let me know the child entries of Event?,"for child_doc in frappe.get_doc(""Event"", ""ID-023"").get_children():
    print(child_doc.name)"
928,"I need the child records from Stock Entry, can you get that?","for child_doc in frappe.get_doc(""Stock Entry"", ""ID-015"").get_children():
    print(child_doc.name)"
933,Show the child entries in Asset.,"for child_doc in frappe.get_doc(""Asset"", ""ID-009"").get_children():
    print(child_doc.name)"
935,Show the child entries in Loan.,"for child_doc in frappe.get_doc(""Loan"", ""ID-016"").get_children():
    print(child_doc.name)"
943,Could you show me the child entries in Opportunity?,"for child_doc in frappe.get_doc(""Opportunity"", ""ID-026"").get_children():
    print(child_doc.name)"
944,Show the child entries in Subscription.,"for child_doc in frappe.get_doc(""Subscription"", ""ID-027"").get_children():
    print(child_doc.name)"
946,"Hey, can you fetch the child records for Supplier?","for child_doc in frappe.get_doc(""Supplier"", ""ID-016"").get_children():
    print(child_doc.name)"
947,Show the child entries in Purchase Order.,"for child_doc in frappe.get_doc(""Purchase Order"", ""ID-044"").get_children():
    print(child_doc.name)"
948,What are the child records of Material Request?,"for child_doc in frappe.get_doc(""Material Request"", ""ID-031"").get_children():
    print(child_doc.name)"
950,What are the child records of Supplier?,"for child_doc in frappe.get_doc(""Supplier"", ""ID-049"").get_children():
    print(child_doc.name)"
951,Can you fetch the child records of Loan?,"for child_doc in frappe.get_doc(""Loan"", ""ID-027"").get_children():
    print(child_doc.name)"
953,Show the child entries in Contract.,"for child_doc in frappe.get_doc(""Contract"", ""ID-038"").get_children():
    print(child_doc.name)"
955,Please tell me the child records for Contract.,"for child_doc in frappe.get_doc(""Contract"", ""ID-020"").get_children():
    print(child_doc.name)"
956,What are the child records of Contract?,"for child_doc in frappe.get_doc(""Contract"", ""ID-032"").get_children():
    print(child_doc.name)"
958,Show the child entries in Subscription.,"for child_doc in frappe.get_doc(""Subscription"", ""ID-035"").get_children():
    print(child_doc.name)"
964,What are the child records of Event?,"for child_doc in frappe.get_doc(""Event"", ""ID-014"").get_children():
    print(child_doc.name)"
965,Show the child entries in Project.,"for child_doc in frappe.get_doc(""Project"", ""ID-029"").get_children():
    print(child_doc.name)"
967,Please tell me the child records for Subscription.,"for child_doc in frappe.get_doc(""Subscription"", ""ID-041"").get_children():
    print(child_doc.name)"
970,Retrieve all child records for Purchase Order.,"for child_doc in frappe.get_doc(""Purchase Order"", ""ID-017"").get_children():
    print(child_doc.name)"
971,"I need the child records from Sales Order, can you get that?","for child_doc in frappe.get_doc(""Sales Order"", ""ID-037"").get_children():
    print(child_doc.name)"
974,Retrieve all child records for Opportunity.,"for child_doc in frappe.get_doc(""Opportunity"", ""ID-031"").get_children():
    print(child_doc.name)"
976,"I need the child records from Pricing Rule, can you get that?","for child_doc in frappe.get_doc(""Pricing Rule"", ""ID-003"").get_children():
    print(child_doc.name)"
978,Could you show me the child entries in Quotation?,"for child_doc in frappe.get_doc(""Quotation"", ""ID-023"").get_children():
    print(child_doc.name)"
979,What are the child records of Customer?,"for child_doc in frappe.get_doc(""Customer"", ""ID-043"").get_children():
    print(child_doc.name)"
980,Could you show me the child entries in Stock Entry?,"for child_doc in frappe.get_doc(""Stock Entry"", ""ID-041"").get_children():
    print(child_doc.name)"
982,Retrieve all child records for Journal Entry.,"for child_doc in frappe.get_doc(""Journal Entry"", ""ID-013"").get_children():
    print(child_doc.name)"
983,"Hey, can you fetch the child records for Asset?","for child_doc in frappe.get_doc(""Asset"", ""ID-046"").get_children():
    print(child_doc.name)"
984,Could you show me the child entries in Work Order?,"for child_doc in frappe.get_doc(""Work Order"", ""ID-035"").get_children():
    print(child_doc.name)"
987,Retrieve all child records for Loan.,"for child_doc in frappe.get_doc(""Loan"", ""ID-019"").get_children():
    print(child_doc.name)"
988,Can you let me know the child entries of Journal Entry?,"for child_doc in frappe.get_doc(""Journal Entry"", ""ID-001"").get_children():
    print(child_doc.name)"
989,Please tell me the child records for Opportunity.,"for child_doc in frappe.get_doc(""Opportunity"", ""ID-035"").get_children():
    print(child_doc.name)"
990,Retrieve all child records for Quotation.,"for child_doc in frappe.get_doc(""Quotation"", ""ID-009"").get_children():
    print(child_doc.name)"
994,"Hey, can you fetch the child records for Project?","for child_doc in frappe.get_doc(""Project"", ""ID-041"").get_children():
    print(child_doc.name)"
995,Retrieve all child records for Work Order.,"for child_doc in frappe.get_doc(""Work Order"", ""ID-048"").get_children():
    print(child_doc.name)"
997,Could you show me the child entries in Event?,"for child_doc in frappe.get_doc(""Event"", ""ID-019"").get_children():
    print(child_doc.name)"
998,Retrieve all child records for Material Request.,"for child_doc in frappe.get_doc(""Material Request"", ""ID-017"").get_children():
    print(child_doc.name)"
1004,"I need the child records from Project, can you get that?","for child_doc in frappe.get_doc(""Project"", ""ID-047"").get_children():
    print(child_doc.name)"
1006,"Hey, can you fetch the child records for Asset?","for child_doc in frappe.get_doc(""Asset"", ""ID-003"").get_children():
    print(child_doc.name)"
1009,Please tell me the child records for Material Request.,"for child_doc in frappe.get_doc(""Material Request"", ""ID-023"").get_children():
    print(child_doc.name)"
1010,Retrieve all child records for Pricing Rule.,"for child_doc in frappe.get_doc(""Pricing Rule"", ""ID-021"").get_children():
    print(child_doc.name)"
1011,Could you show me the child entries in Expense Claim?,"for child_doc in frappe.get_doc(""Expense Claim"", ""ID-029"").get_children():
    print(child_doc.name)"
1014,Show the child entries in Quotation.,"for child_doc in frappe.get_doc(""Quotation"", ""ID-037"").get_children():
    print(child_doc.name)"
1015,Could you show me the child entries in Subscription?,"for child_doc in frappe.get_doc(""Subscription"", ""ID-026"").get_children():
    print(child_doc.name)"
1017,"I need the child records from Asset, can you get that?","for child_doc in frappe.get_doc(""Asset"", ""ID-027"").get_children():
    print(child_doc.name)"
1018,Could you show me the child entries in Supplier?,"for child_doc in frappe.get_doc(""Supplier"", ""ID-013"").get_children():
    print(child_doc.name)"
1020,Can you let me know the child entries of Quotation?,"for child_doc in frappe.get_doc(""Quotation"", ""ID-024"").get_children():
    print(child_doc.name)"
1023,Can you fetch the child records of Quotation?,"for child_doc in frappe.get_doc(""Quotation"", ""ID-002"").get_children():
    print(child_doc.name)"
1024,"Hey, can you fetch the child records for Subscription?","for child_doc in frappe.get_doc(""Subscription"", ""ID-011"").get_children():
    print(child_doc.name)"
1028,What are the child records of Loan?,"for child_doc in frappe.get_doc(""Loan"", ""ID-025"").get_children():
    print(child_doc.name)"
