Corrected Customer Question,Corrected Frappe Query,Query Complexity
"I need the plan for Subscription, can you fetch that?","frappe.db.get_single_value(""Subscription"", ""plan"")",Moderate
Please tell me the billing_cycle for Subscription.,"frappe.db.get_single_value(""Subscription"", ""billing_cycle"")",Moderate
Give me the status from Subscription.,"frappe.db.get_single_value(""Subscription"", ""status"")",Simple
"Hey, what's the rule_name for the Tax Rule?","frappe.db.get_single_value(""Tax Rule"", ""rule_name"")",Simple
Can you get the applicable_for from Tax Rule?,"frappe.db.get_single_value(""Tax Rule"", ""applicable_for"")",Moderate
Please tell me the rate for Tax Rule.,"frappe.db.get_single_value(""Tax Rule"", ""rate"")",Moderate
Can you let me know the valid_from for the Tax Rule?,"frappe.db.get_single_value(""Tax Rule"", ""valid_from"")",Moderate
Can you let me know the valid_to for the Tax Rule?,"frappe.db.get_single_value(""Tax Rule"", ""valid_to"")",Moderate
Retrieve the project_name from Project.,"frappe.db.get_single_value(""Project"", ""project_name"")",Simple
Can you let me know the customer for the Project?,"frappe.db.get_single_value(""Project"", ""customer"")",Moderate
"I need the start_date for Project, can you fetch that?","frappe.db.get_single_value(""Project"", ""start_date"")",Moderate
Give me the end_date from Project.,"frappe.db.get_single_value(""Project"", ""end_date"")",Moderate
Give me the status from Project.,"frappe.db.get_single_value(""Project"", ""status"")",Simple
Could you retrieve the budget from Project?,"frappe.db.get_single_value(""Project"", ""budget"")",Moderate
Please tell me the task_name for Task.,"frappe.db.get_single_value(""Task"", ""task_name"")",Simple
Please tell me the priority for Task.,"frappe.db.get_single_value(""Task"", ""priority"")",Moderate
"Hey, what's the project for the Task?","frappe.db.get_single_value(""Task"", ""project"")",Moderate
Please tell me the status for Task.,"frappe.db.get_single_value(""Task"", ""status"")",Simple
"I need the due_date for Task, can you fetch that?","frappe.db.get_single_value(""Task"", ""due_date"")",Simple
"I need the assigned_to for Task, can you fetch that?","frappe.db.get_single_value(""Task"", ""assigned_to"")",Moderate
"I need the milestone_name for Milestone, can you fetch that?","frappe.db.get_single_value(""Milestone"", ""milestone_name"")",Simple
Can you let me know the project for the Milestone?,"frappe.db.get_single_value(""Milestone"", ""project"")",Moderate
Can you get the target_date from Milestone?,"frappe.db.get_single_value(""Milestone"", ""target_date"")",Moderate
What is the status for the Milestone?,"frappe.db.get_single_value(""Milestone"", ""status"")",Simple
Give me the ticket_id from Support Ticket.,"frappe.db.get_single_value(""Support Ticket"", ""ticket_id"")",Moderate
What is the subject for the Support Ticket?,"frappe.db.get_single_value(""Support Ticket"", ""subject"")",Moderate
Give me the status from Support Ticket.,"frappe.db.get_single_value(""Support Ticket"", ""status"")",Simple
Can you get the customer from Support Ticket?,"frappe.db.get_single_value(""Support Ticket"", ""customer"")",Moderate
"Hey, what's the priority for the Support Ticket?","frappe.db.get_single_value(""Support Ticket"", ""priority"")",Moderate
Can you let me know the resolution_time for the Support Ticket?,"frappe.db.get_single_value(""Support Ticket"", ""resolution_time"")",Moderate
"Hey, what's the claim_id for the Warranty Claim?","frappe.db.get_single_value(""Warranty Claim"", ""claim_id"")",Moderate
"I need the product for Warranty Claim, can you fetch that?","frappe.db.get_single_value(""Warranty Claim"", ""product"")",Complex
Retrieve the customer from Warranty Claim.,"frappe.db.get_single_value(""Warranty Claim"", ""customer"")",Moderate
Can you let me know the status for the Warranty Claim?,"frappe.db.get_single_value(""Warranty Claim"", ""status"")",Simple
Retrieve the warranty_expiry from Warranty Claim.,"frappe.db.get_single_value(""Warranty Claim"", ""warranty_expiry"")",Moderate
Can you get the agreement_name from Service Level Agreement?,"frappe.db.get_single_value(""Service Level Agreement"", ""agreement_name"")",Simple
Retrieve the customer from Service Level Agreement.,"frappe.db.get_single_value(""Service Level Agreement"", ""customer"")",Moderate
"Hey, what's the response_time for the Service Level Agreement?","frappe.db.get_single_value(""Service Level Agreement"", ""response_time"")",Moderate
Could you retrieve the resolution_time from Service Level Agreement?,"frappe.db.get_single_value(""Service Level Agreement"", ""resolution_time"")",Moderate
Could you retrieve the status from Service Level Agreement?,"frappe.db.get_single_value(""Service Level Agreement"", ""status"")",Simple
"I need the item for BOM, can you fetch that?","frappe.db.get_single_value(""BOM"", ""item"")",Moderate
"Hey, what's the quantity for the BOM?","frappe.db.get_single_value(""BOM"", ""quantity"")",Moderate
Can you get the rate from BOM?,"frappe.db.get_single_value(""BOM"", ""rate"")",Moderate
Could you retrieve the total_cost from BOM?,"frappe.db.get_single_value(""BOM"", ""total_cost"")",Moderate
Could you retrieve the is_active from BOM?,"frappe.db.get_single_value(""BOM"", ""is_active"")",Moderate
Please tell me the order_id for Work Order.,"frappe.db.get_single_value(""Work Order"", ""order_id"")",Complex
Can you let me know the production_item for the Work Order?,"frappe.db.get_single_value(""Work Order"", ""production_item"")",Complex
"I need the quantity for Work Order, can you fetch that?","frappe.db.get_single_value(""Work Order"", ""quantity"")",Moderate
Could you retrieve the status from Work Order?,"frappe.db.get_single_value(""Work Order"", ""status"")",Simple
Could you retrieve the planned_start_date from Work Order?,"frappe.db.get_single_value(""Work Order"", ""planned_start_date"")",Moderate
Give me the job_card_id from Job Card.,"frappe.db.get_single_value(""Job Card"", ""job_card_id"")",Moderate
"I need the operation for Job Card, can you fetch that?","frappe.db.get_single_value(""Job Card"", ""operation"")",Moderate
"I need the workstation for Job Card, can you fetch that?","frappe.db.get_single_value(""Job Card"", ""workstation"")",Moderate
Please tell me the status for Job Card.,"frappe.db.get_single_value(""Job Card"", ""status"")",Simple
"Hey, what's the completed_qty for the Job Card?","frappe.db.get_single_value(""Job Card"", ""completed_qty"")",Moderate
Could you retrieve the patient_name from Patient?,"frappe.db.get_single_value(""Patient"", ""patient_name"")",Simple
What is the age for the Patient?,"frappe.db.get_single_value(""Patient"", ""age"")",Moderate
Retrieve the gender from Patient.,"frappe.db.get_single_value(""Patient"", ""gender"")",Moderate
"I need the medical_history for Patient, can you fetch that?","frappe.db.get_single_value(""Patient"", ""medical_history"")",Moderate
Can you let me know the allergies for the Patient?,"frappe.db.get_single_value(""Patient"", ""allergies"")",Moderate
Can you let me know the doctor for the Prescription?,"frappe.db.get_single_value(""Prescription"", ""doctor"")",Moderate
Retrieve the patient from Prescription.,"frappe.db.get_single_value(""Prescription"", ""patient"")",Moderate
Can you let me know the medicines for the Prescription?,"frappe.db.get_single_value(""Prescription"", ""medicines"")",Moderate
Retrieve the dosage from Prescription.,"frappe.db.get_single_value(""Prescription"", ""dosage"")",Moderate
Can you let me know the duration for the Prescription?,"frappe.db.get_single_value(""Prescription"", ""duration"")",Moderate
Can you get the instructions from Prescription?,"frappe.db.get_single_value(""Prescription"", ""instructions"")",Moderate
Please tell me the test_name for Lab Test.,"frappe.db.get_single_value(""Lab Test"", ""test_name"")",Simple
Can you get the patient from Lab Test?,"frappe.db.get_single_value(""Lab Test"", ""patient"")",Moderate
Can you get the sample_collected from Lab Test?,"frappe.db.get_single_value(""Lab Test"", ""sample_collected"")",Moderate
Can you let me know the result for the Lab Test?,"frappe.db.get_single_value(""Lab Test"", ""result"")",Moderate
"Hey, what's the status for the Lab Test?","frappe.db.get_single_value(""Lab Test"", ""status"")",Simple
Please tell me the appointment_id for Appointment.,"frappe.db.get_single_value(""Appointment"", ""appointment_id"")",Moderate
Give me the doctor from Appointment.,"frappe.db.get_single_value(""Appointment"", ""doctor"")",Moderate
Could you retrieve the patient from Appointment?,"frappe.db.get_single_value(""Appointment"", ""patient"")",Moderate
Can you get the scheduled_date from Appointment?,"frappe.db.get_single_value(""Appointment"", ""scheduled_date"")",Moderate
What is the status for the Appointment?,"frappe.db.get_single_value(""Appointment"", ""status"")",Simple
Can you get the patient from Vital Signs?,"frappe.db.get_single_value(""Vital Signs"", ""patient"")",Moderate
Give me the temperature from Vital Signs.,"frappe.db.get_single_value(""Vital Signs"", ""temperature"")",Moderate
"I need the blood_pressure for Vital Signs, can you fetch that?","frappe.db.get_single_value(""Vital Signs"", ""blood_pressure"")",Moderate
Give me the pulse from Vital Signs.,"frappe.db.get_single_value(""Vital Signs"", ""pulse"")",Moderate
Retrieve the respiration_rate from Vital Signs.,"frappe.db.get_single_value(""Vital Signs"", ""respiration_rate"")",Moderate
What is the student_name for the Student?,"frappe.db.get_single_value(""Student"", ""student_name"")",Simple
"I need the roll_number for Student, can you fetch that?","frappe.db.get_single_value(""Student"", ""roll_number"")",Moderate
"Hey, what's the course for the Student?","frappe.db.get_single_value(""Student"", ""course"")",Moderate
Retrieve the batch from Student.,"frappe.db.get_single_value(""Student"", ""batch"")",Moderate
Can you let me know the enrollment_date for the Student?,"frappe.db.get_single_value(""Student"", ""enrollment_date"")",Moderate
Retrieve the instructor_name from Instructor.,"frappe.db.get_single_value(""Instructor"", ""instructor_name"")",Simple
"Hey, what's the qualification for the Instructor?","frappe.db.get_single_value(""Instructor"", ""qualification"")",Moderate
Retrieve the experience from Instructor.,"frappe.db.get_single_value(""Instructor"", ""experience"")",Moderate
Can you get the email from Instructor?,"frappe.db.get_single_value(""Instructor"", ""email"")",Simple
What is the phone for the Instructor?,"frappe.db.get_single_value(""Instructor"", ""phone"")",Simple
Could you retrieve the course_name from Course?,"frappe.db.get_single_value(""Course"", ""course_name"")",Simple
Retrieve the course_code from Course.,"frappe.db.get_single_value(""Course"", ""course_code"")",Moderate
Retrieve the duration from Course.,"frappe.db.get_single_value(""Course"", ""duration"")",Moderate
Could you retrieve the description from Course?,"frappe.db.get_single_value(""Course"", ""description"")",Moderate
What is the credits for the Course?,"frappe.db.get_single_value(""Course"", ""credits"")",Moderate
Can you get the shipment_id from Shipment?,"frappe.db.get_single_value(""Shipment"", ""shipment_id"")",Moderate
"I need the origin for Shipment, can you fetch that?","frappe.db.get_single_value(""Shipment"", ""origin"")",Moderate
Could you retrieve the destination from Shipment?,"frappe.db.get_single_value(""Shipment"", ""destination"")",Moderate
Give me the status from Shipment.,"frappe.db.get_single_value(""Shipment"", ""status"")",Simple
Could you retrieve the tracking_number from Shipment?,"frappe.db.get_single_value(""Shipment"", ""tracking_number"")",Moderate
"I need the vehicle_id for Fleet Management, can you fetch that?","frappe.db.get_single_value(""Fleet Management"", ""vehicle_id"")",Moderate
What is the model for the Fleet Management?,"frappe.db.get_single_value(""Fleet Management"", ""model"")",Moderate
Please tell me the year for Fleet Management.,"frappe.db.get_single_value(""Fleet Management"", ""year"")",Moderate
Give me the assigned_driver from Fleet Management.,"frappe.db.get_single_value(""Fleet Management"", ""assigned_driver"")",Moderate
What is the last_service_date for the Fleet Management?,"frappe.db.get_single_value(""Fleet Management"", ""last_service_date"")",Moderate
Retrieve the guest_name from Hotel Reservation.,"frappe.db.get_single_value(""Hotel Reservation"", ""guest_name"")",Simple
Could you retrieve the check_in from Hotel Reservation?,"frappe.db.get_single_value(""Hotel Reservation"", ""check_in"")",Moderate
Could you retrieve the check_out from Hotel Reservation?,"frappe.db.get_single_value(""Hotel Reservation"", ""check_out"")",Moderate
What is the room_type for the Hotel Reservation?,"frappe.db.get_single_value(""Hotel Reservation"", ""room_type"")",Moderate
Retrieve the booking_reference from Hotel Reservation.,"frappe.db.get_single_value(""Hotel Reservation"", ""booking_reference"")",Moderate
What is the event_name for the Event?,"frappe.db.get_single_value(""Event"", ""event_name"")",Simple
"I need the date for Event, can you fetch that?","frappe.db.get_single_value(""Event"", ""date"")",Moderate
Retrieve the venue from Event.,"frappe.db.get_single_value(""Event"", ""venue"")",Moderate
What is the organizer for the Event?,"frappe.db.get_single_value(""Event"", ""organizer"")",Moderate
Retrieve the participants from Event.,"frappe.db.get_single_value(""Event"", ""participants"")",Moderate
Please tell me the license_key for Software License.,"frappe.db.get_single_value(""Software License"", ""license_key"")",Moderate
Retrieve the product from Software License.,"frappe.db.get_single_value(""Software License"", ""product"")",Complex
"Hey, what's the expiry_date for the Software License?","frappe.db.get_single_value(""Software License"", ""expiry_date"")",Moderate
Please tell me the user_count for Software License.,"frappe.db.get_single_value(""Software License"", ""user_count"")",Moderate
Can you let me know the issued_to for the Software License?,"frappe.db.get_single_value(""Software License"", ""issued_to"")",Moderate
Can you let me know the report_id for the Audit Report?,"frappe.db.get_single_value(""Audit Report"", ""report_id"")",Moderate
Please tell me the audit_type for Audit Report.,"frappe.db.get_single_value(""Audit Report"", ""audit_type"")",Moderate
Can you let me know the findings for the Audit Report?,"frappe.db.get_single_value(""Audit Report"", ""findings"")",Moderate
Can you get the recommendations from Audit Report?,"frappe.db.get_single_value(""Audit Report"", ""recommendations"")",Moderate
Could you retrieve the reviewed_by from Audit Report?,"frappe.db.get_single_value(""Audit Report"", ""reviewed_by"")",Moderate
Could you retrieve the order_id from E-commerce Order?,"frappe.db.get_single_value(""E-commerce Order"", ""order_id"")",Complex
"Hey, what's the customer for the E-commerce Order?","frappe.db.get_single_value(""E-commerce Order"", ""customer"")",Moderate
What is the items for the E-commerce Order?,"frappe.db.get_single_value(""E-commerce Order"", ""items"")",Moderate
"Hey, what's the order_total for the E-commerce Order?","frappe.db.get_single_value(""E-commerce Order"", ""order_total"")",Moderate
"Hey, what's the payment_status for the E-commerce Order?","frappe.db.get_single_value(""E-commerce Order"", ""payment_status"")",Simple
Can you let me know the application_id for the Permit Application?,"frappe.db.get_single_value(""Permit Application"", ""application_id"")",Moderate
Could you retrieve the applicant from Permit Application?,"frappe.db.get_single_value(""Permit Application"", ""applicant"")",Moderate
Could you retrieve the status from Permit Application?,"frappe.db.get_single_value(""Permit Application"", ""status"")",Simple
Give me the approval_date from Permit Application.,"frappe.db.get_single_value(""Permit Application"", ""approval_date"")",Moderate
Could you retrieve the permit_type from Permit Application?,"frappe.db.get_single_value(""Permit Application"", ""permit_type"")",Moderate
What is the meeting_id for the Meeting?,"frappe.db.get_single_value(""Meeting"", ""meeting_id"")",Moderate
What is the agenda for the Meeting?,"frappe.db.get_single_value(""Meeting"", ""agenda"")",Moderate
Could you retrieve the participants from Meeting?,"frappe.db.get_single_value(""Meeting"", ""participants"")",Moderate
"I need the date for Meeting, can you fetch that?","frappe.db.get_single_value(""Meeting"", ""date"")",Moderate
Could you retrieve the time from Meeting?,"frappe.db.get_single_value(""Meeting"", ""time"")",Moderate
What is the location for the Meeting?,"frappe.db.get_single_value(""Meeting"", ""location"")",Moderate
